relays,relay_power,node_power,delta
2,0.000316,0.000316,0.012962966666666664
2,0.000316,0.001,0.012036933333333338
2,0.000316,0.00224,0.012037
2,0.001,0.000316,0.0027780000000000027
2,0.001,0.001,0.003703999999999985
2,0.001,0.00224,0.01666633333333334
2,0.00224,0.000316,0.020370666666666665
2,0.00224,0.001,0.03240799999999999
2,0.00224,0.00224,0.014814666666666643
3,0.000316,0.000316,-0.0018516666666666681
3,0.000316,0.001,0.020370666666666676
3,0.000316,0.00224,0.019445000000000007
3,0.001,0.000316,0.025926000000000005
3,0.001,0.001,0.034259000000000005
3,0.001,0.00224,0.04074066666666667
3,0.00224,0.000316,0.005555333333333329
3,0.00224,0.001,0.01759233333333334
3,0.00224,0.00224,0.04351866666666667
4,0.000316,0.000316,0.04351866666666668
4,0.000316,0.001,0.025000000000000022
4,0.000316,0.00224,0.027777666666666662
4,0.001,0.000316,0.028703666666666645
4,0.001,0.001,0.04166666666666665
4,0.001,0.00224,0.049073999999999986
4,0.00224,0.000316,0.024074333333333326
4,0.00224,0.001,-0.0037033333333333363
4,0.00224,0.00224,0.049074666666666676
6,0.000316,0.000316,0.34166633333333335
6,0.000316,0.001,0.387963
6,0.000316,0.00224,0.4037036666666667
6,0.001,0.000316,-0.003703333333333355
6,0.001,0.001,0.030555333333333306
6,0.001,0.00224,0.009259333333333323
6,0.00224,0.000316,-0.008333666666666665
6,0.00224,0.001,0.011111333333333287
6,0.00224,0.00224,-0.001851666666666622
